#DGE	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Albuterol_Dexamethasone:Dexamethasone
gene_name	baseMean	log2FoldChange	pvalue	padj	Significance
5798	71.6252980001877	2.78272539082189	5.52822026284956e-05	0.367728040507985	not_sign
6750	38.1622251078935	5.40879428210364	5.79565768962604e-05	0.367728040507985	not_sign
199692	232.598448352004	0.438656630129939	7.29219404516095e-05	0.367728040507985	not_sign
22902	1678.77627523138	0.394456829540868	0.000103606225357185	0.367728040507985	not_sign
602	499.73589904682	0.814807804529362	0.000120995012012367	0.367728040507985	not_sign
9852	939.160409628253	0.299788849215096	0.000203189582704618	0.514611483129897	not_sign
79805	23.1270143181153	3.3709920071264	0.000347131606666851	0.519262475580928	not_sign
54674	84.1239183812371	1.13060459565949	0.000403816508914263	0.519262475580928	not_sign
7412	673.751454656857	2.92588867946815	0.000477983760088049	0.519262475580928	not_sign
84078	228.601148881247	0.454743588459009	0.000501021225524863	0.519262475580928	not_sign
728411	132.684777331764	0.505716677126824	0.000508002932051839	0.519262475580928	not_sign
7251	1272.95143273326	-0.286097157263037	0.000536191482450307	0.519262475580928	not_sign
9581	1689.79574397677	0.511721886868095	0.000577603503384502	0.519262475580928	not_sign
100132987	46.2847039791666	1.11494661934797	0.000641392014013389	0.519262475580928	not_sign
115273	86.275910023811	0.636086160443893	0.00067962407146882	0.519262475580928	not_sign
9586	944.728954503243	1.54854796285781	0.000681497765410319	0.519262475580928	not_sign
8863	456.211887784041	2.3294645724709	0.000712788003398555	0.519262475580928	not_sign
90293	600.73719138566	1.00628335553256	0.000763102257726338	0.519262475580928	not_sign
653160	106.194634796353	0.475941039045108	0.000813493982784501	0.519262475580928	not_sign
112268238	85.678140124797	0.649390114072496	0.000824153621085447	0.519262475580928	not_sign
7975	822.887519575005	-0.451566845569889	0.000825456270108261	0.519262475580928	not_sign
8609	676.039012245256	-0.476703273764673	0.000878749716965944	0.519262475580928	not_sign
79230	184.513302474898	0.357521518870155	0.000884701495038812	0.519262475580928	not_sign
3491	5125.17943767719	-2.20183458294475	0.000893861897704121	0.519262475580928	not_sign
3164	287.879967396281	-0.945264246935241	0.000930412963694465	0.519262475580928	not_sign
81848	137.489775742027	-1.22754840093153	0.000931193473501163	0.519262475580928	not_sign
730101	392.13585931689	0.822160802277241	0.000961007295267649	0.519262475580928	not_sign
50486	62.3763085573227	2.39845205144551	0.000972539066093158	0.519262475580928	not_sign
64858	176.893755715651	-0.441824240900281	0.000990958922864367	0.519262475580928	not_sign
163131	387.751658905323	0.395322275198955	0.00109853270092695	0.543866474031414	not_sign
100144748	31.742056115432	1.33610521366343	0.00110949333344129	0.543866474031414	not_sign
8867	596.187238888265	0.38055570197269	0.00129923250754448	0.616973037020185	not_sign
10193	1694.54252081014	-0.391689652456587	0.00134229467584649	0.618106360429189	not_sign
22822	3838.60261088607	0.818226112558767	0.00140391277455861	0.621792755926793	not_sign
105371414	71.7961719594001	0.646374484283747	0.00143381313806472	0.621792755926793	not_sign
7042	260.79279208303	1.62900920183706	0.00150337577677537	0.621792755926793	not_sign
101927034	22.1432561165997	1.59638876985166	0.00153696576223461	0.621792755926793	not_sign
132321	118.427529779042	0.586341421288377	0.00155489107167795	0.621792755926793	not_sign
375248	358.798700082447	0.560479014321064	0.00160428248498818	0.625094272868728	not_sign
26045	67.7540777354456	2.75167646003598	0.0016943762202828	0.643693526085435	not_sign
107986063	33.3986219207802	0.839227695939533	0.00176891128846198	0.65442732817728	not_sign
10228	1228.39475318362	-0.412973041356013	0.00183248960680191	0.65442732817728	not_sign
9572	667.808866952149	0.760292811867896	0.00185342269374243	0.65442732817728	not_sign
7057	108478.707095988	-1.36036148846379	0.0019161088364886	0.65442732817728	not_sign
81929	461.22280419595	-0.423766544131773	0.00193795931613435	0.65442732817728	not_sign
8651	303.003365676851	1.13976184120455	0.00200359166940888	0.661882152355159	not_sign
5228	856.181569848213	1.43838336229041	0.002091093909635	0.676090703208797	not_sign
134526	37.2485897673832	1.36341789446832	0.00231734214719712	0.6827832800588	not_sign
29919	437.765598461999	-0.3978811585939	0.00241216517493269	0.6827832800588	not_sign
84978	133.349210809824	1.34397527897723	0.00252794799394386	0.6827832800588	not_sign
101927057	393.006178964388	1.25383183432062	0.00253822237276862	0.6827832800588	not_sign
100500837	1339.62619551095	0.795616071352398	0.00254334794837746	0.6827832800588	not_sign
219285	1083.69143116178	0.408464253627202	0.00254360671896213	0.6827832800588	not_sign
7638	136.456149026695	0.642123770495949	0.0026826297656346	0.6827832800588	not_sign
158880	76.2223145425778	0.769773167996172	0.0026883927698056	0.6827832800588	not_sign
7071	939.712488268391	0.814564152446179	0.00269098176614614	0.6827832800588	not_sign
105373791	1479.00145768773	0.848408130256343	0.00269278533711614	0.6827832800588	not_sign
92305	1718.79717231328	-0.209974895750089	0.00272482243874947	0.6827832800588	not_sign
2002	792.947681048668	-0.336604773012489	0.00272964667875379	0.6827832800588	not_sign
22934	204.734435758384	-0.372312471777372	0.00273459609248784	0.6827832800588	not_sign
57037	435.654767431732	0.504292510017063	0.0027411633386702	0.6827832800588	not_sign
55565	139.436147714039	0.867213982805068	0.0028085535774098	0.6827832800588	not_sign
4208	187.751397203196	0.835941930088792	0.00291899112769597	0.6827832800588	not_sign
4116	271.358798306892	-0.323816272101074	0.00292606909674446	0.6827832800588	not_sign
115207	3470.9526154508	1.64124913642598	0.00297134289623094	0.6827832800588	not_sign
107984690	181.961388941069	1.53906164414657	0.00297554524830368	0.6827832800588	not_sign
