gene_name,log2FoldChange,padj
ENSG00000286134,26.5626531629808,3.32000872210496e-07
ENSG00000286134,26.0564494887727,1.3076650059663e-07
ENSG00000286134,26.0564494887727,1.3076650059663e-07
ENSG00000231421,24.8381752292678,1.60580068555775e-10
ENSG00000231421,24.8381752292678,1.60580068555775e-10
CDKN2B,-27.5537593236927,2.04846087898795e-08
CDKN2B,-27.5537593236927,2.04846087898795e-08
PTPN20,-25.7023688347681,1.19749228847618e-06
POU3F4,-24.9004328381308,1.4981398775332e-06
POU3F4,-24.9004328381308,1.4981398775332e-06
