gene_name,log2FoldChange,padj
CDKN2B,-27.5537593236927,2.04846087898795e-08
CDKN2B,-27.5537593236927,2.04846087898795e-08
PTPN20,-25.7023688347681,1.19749228847618e-06
POU3F4,-24.9004328381308,1.4981398775332e-06
POU3F4,-24.9004328381308,1.4981398775332e-06
GALNT17,-24.7583380774396,2.8719033131341603e-10
WNT7A,-24.6685365782841,1.81853246535693e-06
ZNF257,-24.4466105339698,4.22077832630131e-09
IGSF21,-24.0421897970699,3.98013526808083e-06
IGSF21,-24.0421897970699,3.98013526808083e-06
ENSG00000272163,-24.001496321105,1.24851002936634e-05
PTPN20,-23.7482290617226,3.82633222924601e-07
ENSG00000286040,-23.6452705276651,6.0026994378286e-07
IGSF21,-23.4789618652558,9.05725257549273e-07
GDF3,-23.4207421938294,3.82813757503508e-05
ENSG00000223446,-23.1929185224165,6.7814196584236e-06
ENSG00000223446,-23.1929185224165,6.7814196584236e-06
BCRP9,-23.0431774307807,7.83936303504033e-06
BCRP9,-23.0431774307807,7.83936303504033e-06
PABPC5,-23.0074729343055,
